Latitude,Longitude,Depth,Magnitude
37.6723333,-121.619,15.12,1.43
21.5146,94.5721,97.07,4.9
37.5765,-118.8591667,4.39,0.06
37.5958333,-118.9948333,1.09,0.4
39.3775,-119.845,7.6,0.3
61.2963,-152.46,1.3,1.8
19.4235,-155.6098333,2.452,1
61.3019,-152.4507,0.1,2
35.503,-118.4058333,0.18,1.2
37.673,-121.6133333,12.91,1.67
33.5888333,-116.8165,13.85,0.48
38.2638,-118.7351,11.2,0.9
36.6811667,-121.3368333,4.3,0.51
37.0286667,-121.19,2.77,0.53
44.7263333,-111.2098333,6.15,0.14
18.072,-66.9848,19,1.6
51.3716,178.7402,13.4,2.1
36.0758333,-117.6788333,1.5,0.73
37.0263333,-121.1936667,1.8,0.22
38.7763333,-122.7245,1.41,1.22
38.8415,-122.8288333,2.41,0.55
19.4074993,-155.2843323,1.49,1.47
62.5408,-149.8593,15.4,1.2
33.7878333,-116.037,2.04,0.81
59.1835,-152.5865,70.5,1.6
35.9231667,-117.6898333,3.18,0.75
38.8348333,-122.8023333,2.05,1.4
64.7377,-151.2365,9.7,0.8
35.978,-117.8535,2.7,1.13
37.6363333,-118.9426667,4.91,0.47
-24.286,-67.8647,98.84,5.6
18.6138,-68.7526,163,3.6
35.9758333,-117.8596667,3.93,0.28
61.1163,-147.2352,20.2,1.2
63.0332,-151.4388,11.6,2.3
36.49,-113.9923,0.6,1.1
60.4444,-151.8699,72.2,1.5
53.302,-163.5048,26.5,2.5
61.251,-151.3632,64.7,1.3
62.1521,-150.1588,16.3,2
38.7781667,-122.7505,1.56,1.75
38.7885,-122.7218333,2.25,0.62
19.3997,-64.2795,75,2.7
37.5141667,-118.8263333,1.54,0.8
18.0625,-66.5327,15,1.8
18.7893333,-154.8673333,11.266,1.83
54.9592,-159.6299,12.3,2.6
61.2406,-150.5094,51.3,1.3
36.0171667,-117.8111667,1.41,0.06
33.5145,-116.5175,11.04,0.75
32.905,-115.5326667,10.02,1.6
61.1172,-150.9111,0.1,2.3
64.7401,-149.2947,22.2,0.3
54.7822,-162.2961,63.2,2.1
61.4464,-151.7569,2.7,1.1
-3.7122,131.5537,30.07,4.9
63.5351,-151.9833,13.3,0.5
68.5121,-146.7507,10.4,1
1.3512,124.434,234.15,4.2
36.7,-121.3381667,4.84,1.84
60.2452,-141.1849,19.1,0.9
61.6271,-151.8501,95.9,1.5
36.1681667,-120.1663333,8.4,1.75
61.4586,-146.6547,17.2,1.2
33.7398333,-117.5278333,10.44,0.59
61.8231,-150.2247,15,1.2
33.0166667,-116.3543333,8.03,0.84
61.5179,-146.4904,30.2,1.1
38.8160019,-122.8150024,2.11,0.71
19.4034996,-155.2831726,1.84,2.1
59.4809,-152.6624,84.4,1.6
63.2389,-151.3281,8.8,0.6
58.4244,-153.6441,71,1.7
52.7406,-166.6875,2.6,3.3
47.3855,-121.7835,16.7,1.3
-21.7716,-113.8676,10,4.8
60.8123,-147.6027,7.5,1.3
38.8123322,-122.8181686,2.32,1.02
51.1326,178.6078,8.2,1.9
-23.3566,-66.9895,227.52,4
52.7317,-166.6461,9.1,2.3
10.9473,124.6154,35,4.9
61.4966,-140.6142,14.8,1.1
32.9211667,-116.2398333,12.58,1.02
19.173,-155.5863333,5.327,1.99
54.4634,-161.4569,12.2,2.4
39.8674,-119.0119,14.3,0.8
34.0308333,-116.7703333,12.5,1.34
-4.8676,153.6709,73.33,4.8
33.7811667,-115.6553333,3.34,1.03
54.1201,-161.2719,31.8,3.2
37.4285,-121.7716667,8.37,1.22
35.9805,69.1573,109.2,4.5
38.6459,-118.7994,6.3,2
62.8542,-150.8216,92,1
38.9155,-122.8926667,4.3,1.74
56.444,-158.9668,4.8,2
34.018,-116.9448333,0.58,1.53
33.0133333,-116.3573333,6.73,1.82
-24.1725,-67.2739,193.92,4.1
61.45,-140.6041,0.3,0.9
41.8767,-119.6278,10,1.6
45.3598333,-121.7006667,2.09,0.52
-52.1331,27.7175,10,4.5
36.0255,-117.7645,1.1,0.61
64.6281,-147.7578,21.9,0.4
36.646,-121.2611667,5.37,2.09
38.8293333,-122.8135,1.42,1.16
55.1608,-159.3778,28.02,3.6
36.0243333,-117.7675,1.54,0.72
36.0273333,-117.7651667,1.56,0.96
-7.237,-76.2101,60.16,4.3
-19.3536,-177.4688,540.25,4.4
59.7753,-136.57,1.5,1.2
36.4922,140.7568,46,5.3
38.9195,-122.8885,1.66,1.11
62.1606,-153.2248,1,1.6
37.4673333,-118.8923333,0.66,0.65
35.8525,-97.2357,4.586,2.6
52.7552,-166.7771,4.6,2.2
67.6877,-166.7916,2.2,3
62.9393,-148.3064,65.7,1.2
52.7361,-168.6086,39.3,1.8
53.9955,-163.6187,19.1,2
63.5851,-147.3953,10.1,1.2
63.5873,-151.1715,11.2,0.5
60.205,-140.9321,7.5,1.6
38.8226667,-122.8446667,2.24,1.56
65.0745,-149.7254,10.4,1.2
33.7266667,-115.9446667,1.68,2.17
63.5137,-151.2119,10.1,1.7
33.5185,-116.5193333,11.2,0.68
59.9464,-152.8283,97,1.4
64.6442,-149.3513,21.9,0.4
36.4063333,-120.2075,21,2.25
46.433,-122.3106667,8.82,1.33
63.6092,-147.5036,9.7,0.7
35.8519,-97.2366,5.411,2.7
33.9368333,-116.7363333,13.68,2.03
66.3658,-150.1971,5.4,1.4
33.7276667,-115.9425,1.95,1.28
52.7041,-168.5775,37.5,1.6
58.8044,-155.0242,133.9,2.1
33.4063333,-116.3943333,16.17,0.71
33.7288333,-115.9443333,1.43,1.59
64.9836,-147.3588,0,1
34.1613333,-116.8086667,4.17,2.62
63.5895,-147.3766,7.4,0.8
61.174,-150.8544,53.2,1.6
48.2676667,-122.7643333,18.01,1.62
52.6252,-166.8396,10,2.2
39.4179,-119.9274,7,0.6
63.3396,-153.2587,10.6,0.7
52.8063,-166.7396,0.8,2
58.4749,-154.4359,2.2,1.3
60.5164,-147.773,3.9,1.5
33.6343333,-116.6635,14.55,0.4
34.3563333,-117.0238333,-1.4,1.59
55.1878,-159.5203,16.7,1.8
46.0183333,-112.4775,-2,2.94
61.0793,-152.2331,103.5,1.5
60.2799,-152.3027,95.5,2.9
33.8495,-117.4875,-0.55,1.36
35.7406667,-121.438,1.44,1.84
18.9866,-65.2505,74,2.7
52.5918,-166.5903,4.8,2.1
33.7351667,-115.9486667,1.19,1.02
37.5753333,-118.8585,5.19,0.75
61.6867,-151.3328,72.7,1.4
35.0581667,-118.3453333,-1.01,0.9
63.2885,-149.3678,0.3,1
58.2784,-151.2473,25,1.8
67.3656,-149.9578,10.8,0.9
61.3078,-152.4596,1.5,2
61.3199,-152.5167,4.7,1.6
61.3148,-152.5359,7.1,1
61.2971,-152.4237,3,1.4
52.7724,-168.6702,47,1.8
63.5041,-147.4457,25.1,1.3
46.2615,-122.2033333,2.54,0.51
61.0448,-148.3254,0,1.9
59.556,-153.5477,120.9,2.5
64.8328,-149.0904,17.3,0.9
45.9655,-122.629,-0.78,1.03
64.7836,-147.2442,9.4,0.2
47.355,-119.2785,16.7,1.49
46.606,-119.8398333,6.51,0.99
33.6805,-116.8106667,15.88,0.68
33.0428333,-114.9765,-0.13,1.15
46.2443333,-123.1063333,-0.6,1.36
61.8735,-148.1367,27.8,1.7
35.5331667,-117.4345,9.53,0.89
47.1195,-120.7686667,-0.85,1.46
-5.9001,145.8818,114.7,4.2
53.0238,-167.2729,21.7,1.6
62.947,-148.7739,14.9,1
44.7286667,-111.2005,5.77,1.24
58.4159,-154.7655,0,1.7
63.5541,-147.3938,10.2,0.9
61.1827,-152.2379,4.5,1.1
48.0113333,-119.8786667,-0.15,1.87
49.425,-120.523,-0.53,1.94
40.2971667,-124.5011667,19.98,2.5
39.4543,73.3421,10,4.6
35.038,-117.6803333,-0.82,1.82
36.1005,-89.426,11.98,1.88
63.8442,-148.788,9.2,0.7
54.9465,-160.3859,47.7,2.1
64.7299,-146.7726,4.5,0.6
33.7748333,-117.4486667,-0.5,0.97
-15.4456,-173.1647,21.49,4.8
36.0303333,-117.775,2.04,0.34
55.4078,-158.4937,32.2,2.3
38.8311653,-122.7736664,1.5,0.93
37.2006667,-118.4,13.44,1.88
33.449,-116.462,9.84,1.64
56.8766,-156.9522,68.5,2
51.3507,-174.284,45.8,2.3
35.4215,-93.0776667,2.25,2.76
31.1293333,-114.0478333,5.96,3.08
36.0583333,-117.879,2.03,0.65
62.2068,-153.4684,3.5,1.4
-30.3675,-71.6354,27.62,4.3
64.2608,-149.8759,20.4,0.6
-4.8885,153.7064,76.01,4.3
33.9611667,-116.9105,4.35,0.62
-25.9135,178.4949,599.55,4.4
37.1026667,-121.154,6.89,0.68
50.7456,174.994,25.3,3.1
59.8913,-152.2587,76,1.2
60.4989,-150.7259,44.4,1.5
33.6505,-116.7821667,15.6,0.74
38.8168333,-122.817,2.17,0.23
38.6668,-118.7643,12.5,0.4
60.1265,-140.9892,7.6,1.6
37.0341667,-121.1968333,2.7,0.49
19.2946667,-155.0171667,33.915,1.76
61.2486,-139.3301,13.6,1.3
18.9834,-66.7925,43,2.8
61.2297,-139.2366,7.5,3.7
37.555,-118.9075,-0.12,0.99
33.9906667,-117.2443333,12.95,1.25
33.6855,-116.6713333,16.36,0.71
64.8504,-149.0505,15,0.2
38.2658,-118.7435,9.5,1.7
59.9332,-151.6507,59.6,1.2
51.1638,-179.1618,20.9,1.9
59.7084,-153.2323,114,1.7
33.5145,-116.4226667,9.34,1.74
48.8751667,-112.1306667,5,2.02
53.2254,-165.8291,24.4,1.8
38.7796669,-122.7241669,1.34,0.58
58.5396,-136.9227,0,1.9
62.3426,-150.9251,79.2,1.6
52.8095,-166.7744,3.5,2.1
37.5061667,-119.0055,3.65,0.57
33.5196667,-116.5213333,10.66,0.42
58.6771,-152.8279,46.9,1.5
37.4176,-117.0073,14.5,0.2
51.4712,178.8021,25.6,1.8
35.6923,-115.1236,0,1.4
35.3395,-118.006,3.92,1.13
37.033,-121.1961667,2.98,0.5
46.9391667,-121.9333333,12.1,0.24
33.5131667,-116.522,11.46,0.65
38.7965012,-122.7946701,2.58,0.91
33.2523333,-116.4063333,4.75,0.93
38.7944984,-122.7990036,3.15,0.94
19.612,-155.2628333,12.277,1.54
62.9088,-151.0824,3,1.4
38.8226662,-122.7796631,1.47,0.92
61.0653,-154.1183,10.7,0.8
57.7013,-155.5783,89.9,1.7
19.2019997,-155.4136658,32.66,2.12
37.6411667,-118.9305,4.43,0.35
63.4517,-147.824,0.9,1.1
41.8584,-119.6533,9.7,1.1
37.471,-113.9345,7.4,0.9
33.7345,-115.9526667,0.08,0.84
41.8477,-119.658,10.4,2.1
64.3928,-146.6322,20,0.4
61.2858,-151.6304,75.3,1.6
36.5923333,-121.1303333,7.23,1.13
19.0373,-64.3435,8,2.1
35.5948333,-120.8835,6.88,1.18
64.3436,-150.7385,19.3,1.6
37.4793333,-118.9851667,1.25,1.2
60.3553,-147.7705,19.6,1.7
40.0425,-121.3488333,0.56,1.85
33.5101667,-116.5275,10.82,2.05
63.7026,-149.6378,123.3,1.1
33.5173333,-116.5158333,10.91,0.35
59.7964,-153.0051,104.8,1.9
33.038,-116.3626667,9.71,1.16
41.8456,-119.6456,7.3,1.1
52.684,-169.1817,63.3,1.7
42.9566,40.8998,10,4.2
33.4871667,-116.9063333,9.64,1.23
38.8190002,-122.7898331,2.09,1.02
18.3605,-65.022,43,2.2
38.819,-122.7911667,3.22,1.36
63.1628,-148.782,3.2,0.5
46.8546667,-121.7503333,-1.08,1.1
38.6791667,-119.8236667,-1.58,2.56
17.892,-66.7545,13,1.5
19.0774,-64.355,48,2.4
38.8400002,-122.8273315,1.59,0.87
37.6208333,-118.8428333,2.76,0.47
18.9195,-63.7612,9,2.1
36.026,-117.7673333,1.41,0.7
60.3183,-147.7357,4.7,1.4
65.1005,-150.1644,13.8,0.4
44.7338333,-111.7683333,11.92,0.85
61.9854,-148.3597,38,1.1
51.5273,178.3063,56.7,2.1
38.6982,-119.8061,6.1,1
63.2754,-150.4978,120.6,1.3
37.6216667,-118.8856667,6.98,0.25
44.5528333,-114.5161667,6.03,1.4
63.0633,-151.494,8.4,1.2
33.5853333,-117.151,12.37,0.35
61.3091,-152.4285,4.5,1.7
61.2911,-152.4551,1.4,1.1
51.6467,179.9092,78.4,1.8
61.2991,-152.4507,1,2.1
62.5478,-151.1535,81.6,1.5
38.6667,-119.3803,4.1,1
38.6894,-119.8113,12.2,0.9
35.9258333,-117.9498333,2.75,0.52
61.7265,-148.1789,6.6,1.9
59.0436,-152.5599,60.3,1.6
63.9852,-148.8097,115.5,1.1
41.8432,-119.6405,6.8,1
39.1285,-110.8571667,3.2,0.74
37.4613333,-118.8668333,2.95,0.61
59.9198,-152.8465,96.5,1.6
41.8476,-119.6516,7.5,1.1
44.5753333,-110.7636667,6.69,1.33
41.8519,-119.6461,8.4,0.9
63.2775,-151.1246,5,0.6
37.5115,-118.8035,13.55,0.84
39.1273333,-110.8553333,2.39,1.8
19.7007,-64.3908,57,2.9
63.2834,-151.1174,10.3,0.9
50.6235,175.9801,32.4,2.9
41.851,-119.6477,8.4,1.2
52.0942,-170.6218,34.5,2.6
34.5281667,-119.1096667,15.8,1.23
37.4853333,-118.7741667,10.13,1.02
63.4764,-148.9546,11.1,0.6
53.4178,-167.2798,13.1,1.1
34.0271667,-117.2266667,16.06,0.83
33.6875,-116.7903333,16.51,0.92
38.7765,-122.723,1.56,1.38
52.6934,-166.6619,13.2,1.9
68.7606,-142.5006,8.4,1.1
60.1849,-152.5171,85.6,1.2
41.9676,-120.1726,10.3,1
19.4283333,-155.6106667,2.862,1.47
61.0262,-146.7663,20.4,2.1
47.0706667,-121.8106667,17.68,0.5
38.7943344,-122.7718353,2.14,0.88
38.7518349,-122.7226639,-0.2,1.06
59.9036,-152.7005,83.7,1.4
61.1471,-150.9438,7,1.2
19.6149,-65.2881,25,2.6
18.3805,-64.5873,13,2.2
33.9483333,-116.7331667,17.48,0.68
61.0838,-148.5622,0,1.6
60.0372,-150.3999,39,1.5
68.9615,-147.5099,4,2.4
59.9948,-152.0532,90.3,1.4
37.2592,-117.3265,7.9,1.2
61.0663,-148.2406,0,1.4
60.8833,-140.5022,8.8,1.3
44.5768333,-110.7581667,7,2.16
18.4454,-64.2626,83,2.4
38.793,-122.7588333,2.35,1.31
62.4726,-148.6077,44.3,1.5
61.2863,-149.3592,29.6,1.4
51.7808,-177.2855,16.3,1.4
37.1517,-117.3861,11.3,0.4
37.1512,-117.3781,9,0.6
68.9415,-147.4935,1.8,1.3
44.5706667,-110.7598333,5.98,1.86
58.4109,-153.7017,65.8,1.8
62.302,-150.0184,6.9,1.9
52.0702,177.3202,10.3,2.1
37.2661,-117.145,1.4,0.3
19.5503,-65.2685,42,3.1
65.977,-147.7564,16.6,1.4
59.5384,-152.6402,77,1.4
63.0549,-150.9262,113.6,1.8
61.396,-149.8677,37.9,1.1
37.5921667,-118.9408333,1.44,0.5
68.9428,-147.5063,12.3,0.9
37.5816667,-118.9388333,0.04,0.73
36.6889,-98.2606,5.429,2.7
64.8939,-148.3138,10,0.4
44.5698333,-110.761,4.39,1.63
44.5725,-110.7548333,7.82,0.74
34.0753333,-116.6896667,9.68,0.88
52.7623,-166.7218,3,2.3
44.5716667,-110.7626667,7.63,0.57
44.5711667,-110.7478333,2.18,0.98
61.5159,-146.6768,30.1,1.2
63.0933,-150.4281,107.1,1
35.7323333,-121.0626667,8.42,1.26
37.5785,-118.8446667,4.81,2.25
53.8178,-163.2453,18.5,1.8
38.2651,-118.728,10,0.5
33.9481667,-116.323,1.87,0.93
38.8131667,-122.8168333,3.04,1.91
38.8103333,-122.8195038,2.6,0.88
38.6522,-118.7445,12.3,0.4
64.7505,-148.4959,9.8,0.3
33.5206667,-116.5496667,14.59,0.3
44.572,-110.7541667,5.18,0.81
41.8516667,-122.3303333,9.33,1.38
33.962,-116.3305,2.17,1.25
26.9417,53.7754,36.96,4.6
-16.8242,-172.5158,5.12,5.1
38.8225,-122.7768333,1.66,1.19
38.6653,-118.7809,13.4,0.4
33.953,-116.3228333,1.77,1.15
38.4878,-118.3646,2.9,0.1
51.8713,-174.0807,54.8,1.7
33.9323333,-116.8348333,3.27,0.55
61.7884,-149.7836,35.8,1.1
59.9415,-152.772,96.1,1.4
35.2862,39.0889,27.88,4.4
51.485,-178.1456,12.1,1.3
33.9461667,-116.3256667,1.99,0.79
33.9471667,-116.3253333,2.16,0.78
34.4761667,-118.4605,10.59,1.49
59.8892,-151.7415,55.1,1.2
64.798,-147.8794,18.8,0.2
37.4766667,-118.7876667,8.56,0.77
52.7936,-166.8035,3.9,2.5
59.481,-152.7985,79.5,1.5
38.8143349,-122.8263321,1.81,0.56
33.9486667,-116.324,1.68,1.16
62.272,-148.5621,5.7,1.1
52.6289,-166.7741,46.5,2.3
52.778,-166.8498,13.8,2.5
51.4843,-176.0662,23.3,1.2
35.5403333,-119.3643333,26.12,1.89
52.7849,-166.8049,4.3,1.8
59.9663,-152.6361,101.1,1.9
32.9715,-116.351,10.76,0.96
34.0326667,-117.0773333,17.07,0.82
33.2478333,-116.4083333,5.56,1.71
44.2975,-120.8655,-1.54,1.73
52.7061,-166.7263,37,2
38.786,-122.6968333,1.51,0.27
33.7285,-115.9456667,2.19,0.92
51.5772,-173.3847,37.6,2.5
63.0971,-149.2056,15.1,0.7
44.6655,-110.0355,11.13,1.61
35.0458333,-118.3286667,-0.97,1.43
63.5278,-150.8334,12.4,0.8
-6.1428,154.4552,65.04,4.8
51.5063,-173.9599,66.8,2.5
33.8261667,-117.1776667,-0.49,0.93
44.625,-114.3538333,2.96,1.66
38.8216667,-122.822,2.73,0.27
44.5741667,-110.7581667,5.73,1.75
62.381,-151.8536,101.6,1.5
36.81,-121.5371667,5.75,1.95
35.6818333,-121.1255,5.72,1.15
18.628,-64.6171,62,2.1
35.6823333,-121.1245,6.15,3.22
52.8432,-166.8639,27.1,3.5
38.7726667,-122.747,1.54,0.34
35.6806667,-121.1325,6.08,0.78
39.6928,-119.9769,4.3,0.2
35.6816667,-121.1266667,6.05,1.2
35.6815,-121.1246667,5.98,1.64
36.5009,-116.0098,11.5,0.3
44.5658333,-110.7645,2.67,0.82
37.3986667,-121.7516667,6.18,1.57
52.8378,-166.8442,39.7,2
19.4045,-155.2826667,0.673,1.98
46.856,-121.7575,1.32,0.25
46.8541667,-121.7571667,1.19,0.74
46.8543333,-121.7583333,2.17,0.37
48.3755,-116.5223333,-0.72,1.96
38.8181667,-122.8053333,3.3,0.26
35.682,-121.1278333,5.6,0.78
56.4738,-158.267,3.1,1.5
51.6145,-177.1008,27.1,1.1
18.8325,-64.3639,42,2.4
51.6521,-178.0728,13.2,1.5
33.3928333,-116.3825,2.97,0.6
